user_id,name,country,signup_date
1,User_1,UK,2023-02-03
2,User_2,France,2023-03-11
3,User_3,Japan,2023-01-14
4,User_4,USA,2023-05-01
5,User_5,Germany,2023-04-19
6,User_6,Australia,2023-09-17
7,User_7,Brazil,2023-06-19
8,User_8,Germany,2023-04-24
9,User_9,Brazil,2023-03-18
10,User_10,India,2023-01-06
11,User_11,Australia,2023-01-21
12,User_12,Japan,2023-01-05
13,User_13,India,2023-12-10
14,User_14,Canada,2023-03-03
15,User_15,Australia,2023-07-01
16,User_16,USA,2023-06-10
17,User_17,Canada,2023-08-06
18,User_18,Germany,2023-12-09
19,User_19,France,2023-07-20
20,User_20,France,2023-04-17
21,User_21,Japan,2023-07-11
22,User_22,Australia,2023-11-14
23,User_23,Germany,2023-10-26
24,User_24,Brazil,2023-01-13
25,User_25,Australia,2023-06-24
26,User_26,Canada,2023-01-31
27,User_27,India,2023-04-02
28,User_28,Brazil,2023-07-31
29,User_29,Japan,2023-11-16
30,User_30,Mexico,2023-07-23
31,User_31,USA,2023-10-25
32,User_32,France,2023-06-07
33,User_33,Canada,2023-06-05
34,User_34,India,2023-05-17
35,User_35,Japan,2023-11-12
36,User_36,Mexico,2023-08-07
37,User_37,UK,2023-11-30
38,User_38,Germany,2023-08-06
39,User_39,Brazil,2023-06-21
40,User_40,France,2023-02-26
41,User_41,France,2023-11-01
42,User_42,Australia,2023-01-09
43,User_43,France,2023-09-20
44,User_44,Germany,2023-11-14
45,User_45,Canada,2023-02-26
46,User_46,Australia,2023-08-26
47,User_47,India,2023-03-15
48,User_48,UK,2023-06-06
49,User_49,Australia,2023-11-21
50,User_50,Germany,2023-11-05
51,User_51,Brazil,2023-04-24
52,User_52,Brazil,2023-11-21
53,User_53,Australia,2023-11-01
54,User_54,Canada,2023-12-27
55,User_55,France,2023-10-08
56,User_56,Australia,2023-06-06
57,User_57,Japan,2023-10-11
58,User_58,Mexico,2023-05-20
59,User_59,USA,2023-03-17
60,User_60,France,2023-06-23
61,User_61,Germany,2023-04-12
62,User_62,India,2023-11-04
63,User_63,Japan,2023-06-16
64,User_64,India,2023-05-12
65,User_65,Canada,2023-05-11
66,User_66,Japan,2023-04-21
67,User_67,Germany,2023-01-31
68,User_68,Canada,2023-01-02
69,User_69,Canada,2023-05-24
70,User_70,UK,2023-12-09
71,User_71,USA,2023-01-18
72,User_72,USA,2023-06-07
73,User_73,Canada,2023-10-01
74,User_74,Japan,2023-02-10
75,User_75,USA,2023-05-25
76,User_76,Australia,2023-07-17
77,User_77,India,2023-11-20
78,User_78,USA,2023-03-02
79,User_79,Japan,2023-01-25
80,User_80,Mexico,2023-11-22
81,User_81,USA,2023-03-06
82,User_82,UK,2023-04-18
83,User_83,UK,2023-11-21
84,User_84,India,2023-04-26
85,User_85,Brazil,2023-01-26
86,User_86,India,2023-08-20
87,User_87,UK,2023-09-15
88,User_88,Mexico,2023-06-13
89,User_89,USA,2023-10-22
90,User_90,Canada,2023-04-14
91,User_91,Brazil,2023-08-04
92,User_92,UK,2023-07-23
93,User_93,Brazil,2023-07-08
94,User_94,India,2023-06-14
95,User_95,France,2023-08-10
96,User_96,France,2023-11-16
97,User_97,Brazil,2023-10-24
98,User_98,Canada,2023-02-07
99,User_99,USA,2023-03-16
100,User_100,UK,2023-12-11
101,User_101,USA,2023-11-24
102,User_102,France,2023-11-13
103,User_103,Australia,2023-04-26
104,User_104,Germany,2023-11-20
105,User_105,Mexico,2023-01-25
106,User_106,Canada,2023-08-02
107,User_107,France,2023-12-08
108,User_108,France,2023-04-26
109,User_109,Japan,2023-07-27
110,User_110,Canada,2023-10-03
111,User_111,UK,2023-06-10
112,User_112,Germany,2023-04-16
113,User_113,Brazil,2023-07-10
114,User_114,UK,2023-03-31
115,User_115,France,2023-10-21
116,User_116,Japan,2023-05-13
117,User_117,Australia,2023-07-13
118,User_118,Australia,2023-10-22
119,User_119,France,2023-01-26
120,User_120,Japan,2023-12-12
121,User_121,France,2023-05-21
122,User_122,Canada,2023-02-18
123,User_123,Australia,2023-02-21
124,User_124,India,2023-10-21
125,User_125,Brazil,2023-12-23
126,User_126,Mexico,2023-05-22
127,User_127,Australia,2023-11-26
128,User_128,Germany,2023-04-12
129,User_129,Brazil,2023-07-10
130,User_130,Australia,2023-07-07
131,User_131,Australia,2023-04-25
132,User_132,Australia,2023-02-09
133,User_133,UK,2023-09-16
134,User_134,India,2023-06-10
135,User_135,UK,2023-01-12
136,User_136,UK,2023-08-13
137,User_137,Germany,2023-08-25
138,User_138,India,2023-01-10
139,User_139,Canada,2023-01-19
140,User_140,India,2023-04-01
141,User_141,UK,2023-11-20
142,User_142,Japan,2023-10-12
143,User_143,Japan,2023-04-05
144,User_144,India,2023-03-04
145,User_145,Japan,2023-12-20
146,User_146,India,2023-11-13
147,User_147,Germany,2023-06-02
148,User_148,Australia,2023-09-07
149,User_149,Australia,2023-08-12
150,User_150,France,2023-10-23
151,User_151,UK,2023-01-01
152,User_152,Australia,2023-09-21
153,User_153,Germany,2023-09-13
154,User_154,UK,2023-03-13
155,User_155,India,2023-07-22
156,User_156,Mexico,2023-02-17
157,User_157,Mexico,2023-10-31
